IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PAN,Panama,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.74,,,11.08,,19.82,14.74 [11.08 – 19.82],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.76,,,14.43,,16.01,14.76 [14.43 – 16.01],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ITA,Italy,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.84,,,15.56,,16.11,14.84 [15.56 – 16.11],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,JAM,Jamaica,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,14.86,,,11.44,,20.28,14.86 [11.44 – 20.28],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,COM,Comoros,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,15.34,,,8.58,,25.21,15.34 [8.58 – 25.21],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CZE,Czechia,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,15.41,,,15.7,,16.82,15.41 [15.7 – 16.82],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HUN,Hungary,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.04,,,15.19,,17.38,16.04 [15.19 – 17.38],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,DOM,Dominican Republic,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.04,,,7.86,,35.27,16.04 [7.86 – 35.27],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.27,,,13.79,,19.37,16.27 [13.79 – 19.37],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVN,Slovenia,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.29,,,15.5,,17.49,16.29 [15.5 – 17.49],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.34,,,7.56,,37.81,16.34 [7.56 – 37.81],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,BLR,Belarus,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.36,,,14.72,,19.61,16.36 [14.72 – 19.61],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.54,,,11.83,,24.06,16.54 [11.83 – 24.06],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BHS,Bahamas,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,16.57,,,8.02,,38.84,16.57 [8.02 – 38.84],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,17.24,,,12.85,,23.33,17.24 [12.85 – 23.33],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,HRV,Croatia,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,17.26,,,15.93,,18.95,17.26 [15.93 – 18.95],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,17.5,,,10.54,,29.9,17.5 [10.54 – 29.9],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,HTI,Haiti,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,17.56,,,8.56,,38.79,17.56 [8.56 – 38.79],,,EN,2021-05-07T04:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SVK,Slovakia,Year,2016,true,Residence Area Type,Total,TOTL,,,,,,,,,,17.82,,,17.1,,19.05,17.82 [17.1 – 19.05],,,EN,2021-05-07T04:00:00.000Z
